topic_id,选题标题,选题标题中文翻译,原始链接,来源,来源等级,栏目,主线,发布时间,发现日期,AI摘要,AI摘要中文翻译,用户价值,可靠性评分,传播性评分,实用性评分,事实核验,实测状态,发布状态,草稿路径,复盘结论
T20260625-011,benchflow-ai/awesome-evals,benchflow-ai/awesome-evals：AI Agent 评测资源合集,https://github.com/benchflow-ai/awesome-evals,GitHub,S,开源项目拆解,开源,2026-06-24T08:10:33Z,2026-06-25,"A curated, non-BS library of the best resources for building and evaluating AI agents — papers, blogs, talks, tools, benchmarks. Maintained by BenchFlow.",这是一个 AI Agent 评测资源合集，收集构建和评估 AI Agent 所需的论文、博客、演讲、工具和基准。适合做开源项目拆解或 AI Agent 评测资料清单。,适合拆解项目用途、上手难度和适用人群。,5,3,3,待核验,不需要,候选,,
T20260625-012,trending,Hugging Face 论文趋势页,https://huggingface.co/papers/trending,Hugging Face,S,论文变应用,热点,2026-06-25T13:44:08.583Z,2026-06-25,Hugging Face Daily Papers candidate.,这是 Hugging Face 的论文趋势入口，用于发现近期社区关注度较高的论文。需要进一步打开具体论文页面，确认题目、摘要、代码和可应用场景。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260625-013,2026-06-24,,https://huggingface.co/papers/date/2026-06-24,Hugging Face,S,论文变应用,热点,2026-06-25T13:44:08.583Z,2026-06-25,Hugging Face Daily Papers candidate.,这是 Hugging Face 某日的每日论文列表入口，用于按日期发现新论文。需要进一步筛选具体论文，不能直接作为发布事实。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260625-014,2606.24775,,https://huggingface.co/papers/2606.24775,Hugging Face,S,论文变应用,热点,2026-06-25T13:44:08.583Z,2026-06-25,Hugging Face Daily Papers candidate.,这是 Hugging Face 上的具体论文线索，需要打开页面确认论文题目、摘要、作者和原始 arXiv 链接后，再判断是否适合做论文变应用。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260625-015,2606.26058,,https://huggingface.co/papers/2606.26058,Hugging Face,S,论文变应用,热点,2026-06-25T13:44:08.583Z,2026-06-25,Hugging Face Daily Papers candidate.,这是 Hugging Face 上的具体论文线索，需要打开页面确认论文题目、摘要、作者和原始 arXiv 链接后，再判断是否适合做论文变应用。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260625-016,Newsroom \ Anthropic,Anthropic 新闻中心,https://www.anthropic.com/news,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:16.375Z,2026-06-25,Configured source candidate.,这是 Anthropic 官方新闻中心入口，用于发现 Claude、模型安全、产品功能和公司动态。需要打开具体新闻条目确认发布时间和细节。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-017,News — Google DeepMind,Google DeepMind 新闻与博客,https://deepmind.google/discover/blog/,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:19.550Z,2026-06-25,Configured source candidate.,这是 Google DeepMind 官方新闻与博客入口，用于发现 Gemini、DeepMind 研究和产品进展。需要打开具体文章确认内容。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-018,AI at Meta Blog,Meta AI 博客,https://ai.meta.com/blog/,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:21.940Z,2026-06-25,Configured source candidate.,这是 Meta AI 官方博客入口，用于发现 Llama、开源模型、研究和产品动态。需要打开具体文章确认内容。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-019,AI - Source,Microsoft AI 资讯源,https://blogs.microsoft.com/ai/,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:24.391Z,2026-06-25,Configured source candidate.,这是 Microsoft AI 资讯入口，用于发现 Copilot、企业 AI 和 Microsoft AI 产品动态。需要打开具体文章确认内容。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-020,cs.CL updates on arXiv.org,arXiv cs.CL 更新,https://export.arxiv.org/rss/cs.CL,Configured RSS/Web,S,今日值得看,热点,2026-06-25T13:44:25.518Z,2026-06-25,Configured source candidate.,这是 arXiv 计算语言学分类的更新入口，用于发现 NLP、LLM 和语言技术相关论文。需要筛选具体论文后再发布。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260625-021,cs.AI updates on arXiv.org,arXiv cs.AI 更新,https://export.arxiv.org/rss/cs.AI,Configured RSS/Web,S,今日值得看,热点,2026-06-25T14:01:11.857Z,2026-06-25,Configured source candidate.,这是 arXiv 人工智能分类的更新入口，用于发现 AI 总类相关论文。需要筛选具体论文后再发布。,适合发现官方更新或高质量行业动态。,5,3,3,待核验,不需要,候选,,
T20260626-001,DanceOPD: On-Policy Generative Field Distillation,中文译名待精校：DanceOPD: On-Policy Generative Field Distillation,http://arxiv.org/abs/2606.27377v1,arXiv,S,论文变应用,热点,2026-06-25T17:59:58Z,2026-06-26,"Modern image generation demands a single model that unifies diverse capabilities, including text-to-image (T2I), local editing, and global editing. However, these capabilities are rarely naturally aligned and often conflict. For instance, editing tends to degrade T2I performance, while global and local editing interfere with each other. Consequently, effectively composing these capabilities has become a central challenge for image generation model training. To tackle this, we introduce DanceOPD, an on-policy generative field distillation framework for flow-matching models that routes each sample to one capability field, queries one low-noise student-induced state, and trains with a simple velocity MSE objective. With each capability source defined as a velocity field over the shared flow state space, the student learns from fields queried on its own rollout states to compose expert capabilities. This formulation also absorbs operator-defined fields such as classifier-free guidance. Comprehensive experiments on T2I, editing, realism-field absorption, and CFG absorption show that our approach improves multi-capability composition, strengthening target capabilities while preserving anchor generation quality. We believe this work establishes a practical route for generative field distillation in flow-matching models.",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260626-002,Reinforcement Learning without Ground-Truth Solutions can Improve LLMs,中文译名待精校：Reinforcement Learning without Ground-Truth Solutions can Improve LLMs,http://arxiv.org/abs/2606.27369v1,arXiv,S,论文变应用,热点,2026-06-25T17:59:36Z,2026-06-26,"Reinforcement learning with verifiable rewards (RLVR) for training LLMs typically rely on ground-truth answers to assign rewards, limiting their applicability to tasks where the ground-truth solution is unknown. We introduce a \textbf{R}anking-\textbf{i}nduced \textbf{VER}ifiable framework (RiVER) that trains LLMs on score-based optimization tasks without ground-truth solutions, using deterministic execution feedback as continuous-valued supervision. When applying group-relative RL to such continuous rewards, we identify two key challenges: \emph{scale dominance}, where uncalibrated score magnitudes across test instances distort policy updates, and \emph{frequency dominance}, where repeatedly sampled suboptimal solutions can outweigh rare but stronger candidates. RiVER addresses these challenges with calibrated reward shaping that uses instance-wise comparisons and emphasizes top-ranked solvers while retaining bounded feedback for other valid solutions. We train on 12 AtCoder Heuristic Contest tasks and evaluate on Algorithm Engineering Benchmark (ALE-Bench), LiveCodeBench, and USACO. RiVER advances Qwen3-8B and GLM-Z1-9B-0414 by 8.9\% and 9.4\% in ALE rating rank. More importantly, despite training exclusively on score-based tasks without any ground-truth solutions, RiVER also improves the backbones across exact-solution benchmarks such as LiveCodeBench and USACO by an absolute average improvement of 2.4\% and 3.5\%. By contrast, baselines trained with raw execution scores improve ALE rating but fail to transfer to exact-solution benchmarks. These results suggest that score-based optimization tasks, combined with proper reward calibration, can serve as effective training environments for general coding ability without ground-truth solutions.",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260626-003,Autoregressive Boltzmann Generators,中文译名待精校：Autoregressive Boltzmann Generators,http://arxiv.org/abs/2606.27361v1,arXiv,S,论文变应用,热点,2026-06-25T17:58:21Z,2026-06-26,"Efficient sampling of molecular systems at thermodynamic equilibrium is a hallmark challenge in statistical physics. This challenge has driven the development of Boltzmann Generators (BGs), which allow rapid generation of uncorrelated equilibrium samples by combining a generative model with exact likelihoods and an importance sampling correction. However, modern BGs predominantly rely on normalizing flows (NFs), which either suffer from limited expressivity due to strict invertibility constraints (discrete time) or computationally expensive likelihoods (continuous time). In this paper, we propose Autoregressive Boltzmann Generators (ArBG) -- a novel autoregressive modelling framework -- that overcomes these limitations by departing from the flow-based BG paradigm. ArBG circumvents the topological constraints of flows and enables sequential inference-time interventions, while offering enhanced scalability by leveraging architectures effective in Large Language Models. We empirically demonstrate that ArBG leads to significant improvements over flow-based models across all benchmarks, but particularly in larger peptide systems such as the 10-residue Chignolin. Furthermore, we introduce Robin, a 132 million parameter transferable model trained with the ArBG framework which improves over the previous state-of-the-art, reducing the zero-shot energy error, E-W$_2$, on 8-residue systems by over 60$\%$. The code can be found at the following link: https://github.com/danyalrehman/autobg.",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260626-004,When are likely answers right? On Sequence Probability and Correctness in LLMs,高概率答案什么时候才是对的？关于 LLM 序列概率与正确性的关系,https://arxiv.org/abs/2606.27359v1,arXiv,S,论文变应用,论文,2026-06-25,2026-06-26,"Many decoding methods for large language models can be understood as shifting probability mass toward outputs that are more likely under the model, either locally at the token level or globally at the sequence level. Therefore, their success depends on a fundamental question: when does sequence probability, that is, the conditional probability of a continuation given a prompt, actually align with correctness? In this paper, we set out to quantify this relationship across decoding methods, models, and benchmarks at four levels: across decoding methods, across hyperparameters within a method, across prompt-answer pairs within a dataset, and across repeated responses to the same prompt. We find that higher sequence probability is often predictive of correctness across prompt-answer pairs within a fixed dataset. However, this relationship does not generally transfer to decoding decisions: increasing sequence probability by changing hyperparameters or methods does not reliably improve accuracy. Further, sequence probability is not a good indicator of correctness for responses to the same prompt. These findings clarify when decoding can and cannot be expected to improve correctness, and provide practical guidance for decoding, self-consistency, and verifier-free self-improvement.",该论文研究大模型回答的 sequence probability（序列概率，也就是模型认为整段回答在当前提示下出现的概率）和 correctness（正确性）的关系。结论是：在固定数据集的不同问题之间，高序列概率常常能预测正确性；但通过改解码方法或参数让答案更高概率，并不可靠提升准确率；同一个问题多次回答时，序列概率也不是好的正确性指标。,帮助普通职场人和内容创作者理解：AI 回答越顺、越像标准答案，不等于越可靠；高风险任务要看证据、校验规则和外部事实。,5,4,5,已核验,不需要,待发布,drafts/xhs_2026-06-27_likely-answer-correctness.md,已生成事实核验、草稿和图文素材
T20260626-005,Error-Conditioned Neural Solvers,中文译名待精校：Error-Conditioned Neural Solvers,http://arxiv.org/abs/2606.27354v1,arXiv,S,论文变应用,热点,2026-06-25T17:56:27Z,2026-06-26,"Neural surrogate models offer fast approximate mappings from PDE parameters to solutions, but they typically treat solving as a purely statistical task: once trained, they struggle to correct their own constraint violations and extrapolate beyond the training distribution. Recent hybrid methods promote physical correctness by targeting the PDE residual via gradient descent or Gauss--Newton steps, but inherit the compute cost and instability of the underlying classical optimizers. We show, theoretically and empirically, that numerically minimizing the PDE residual can be an unreliable proxy for reconstruction accuracy in ill-conditioned systems, explaining why these methods often do not make accurate predictions despite achieving low residuals. We propose error-conditioned Neural Solvers (ENS), built on a different principle: rather than an optimization target, the PDE residual field is passed as a direct input to the network at each iteration, enabling it to read the spatial structure of its own errors and learn an update policy to iteratively correct its predictions. Across four PDE families, ENS attains the highest prediction accuracy in the large majority of settings, with gains reaching $10\times$ on turbulent Kolmogorov flow, while avoiding the expensive compute cost of hybrid methods. ENS's learned correction policy generalizes under distribution shift, including zero-shot parameter changes and cross-equation transfer, where its relative advantage is largest in the ill-conditioned regimes where residual minimization is least reliable. Project website: https://neuralsolver.github.io/.",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
